Crop,Season,State,Annual_Rainfall,Fertilizer,Pesticide
Rice,Kharif     ,Karnataka,1266.7,98170710.1,319774.3
Rice,Rabi       ,Karnataka,1266.7,5128616.13,16705.59
Rice,Summer     ,Karnataka,1266.7,25509747.48,83093.64
Sugarcane,Whole Year ,Karnataka,1266.7,29393920.69,95745.67
Turmeric,Whole Year ,Karnataka,1266.7,413228.14,1346.02
Wheat,Rabi       ,Karnataka,1266.7,23858928.66,77716.38
Arecanut,Whole Year ,Kerala,3252.4,7246719.65,23604.95
Black pepper,Whole Year ,Kerala,3252.4,16545780.35,53895.05
Cashewnut,Whole Year ,Kerala,3252.4,9143267.41,29782.63
Coconut ,Whole Year ,Kerala,3252.4,84163018.48,274146.64
Tapioca,Whole Year ,Kerala,3252.4,12645713.75,41191.25
Arecanut,Whole Year ,Meghalaya,3818.2,910681.73,2966.39
Arhar/Tur,Kharif     ,Meghalaya,3818.2,82322.05,268.15
Banana,Whole Year ,Meghalaya,3818.2,498595.63,1624.09
Castor seed,Rabi       ,Meghalaya,3818.2,2855.1,9.3
Cotton(lint),Kharif     ,Meghalaya,3818.2,717962.48,2338.64
Dry chillies,Whole Year ,Meghalaya,3818.2,168070.22,547.46
Ginger,Kharif     ,Meghalaya,3818.2,700165.69,2280.67
Gram,Rabi       ,Meghalaya,3818.2,42160.31,137.33
Jute,Kharif     ,Meghalaya,3818.2,403806.31,1315.33
Linseed,Kharif     ,Meghalaya,3818.2,4758.5,15.5
Maize,Kharif     ,Meghalaya,3818.2,1634544.75,5324.25
Mesta,Kharif     ,Meghalaya,3818.2,446156.96,1453.28
Mesta,Whole Year ,Meghalaya,3818.2,81941.37,266.91
Other  Rabi pulses,Rabi       ,Meghalaya,3818.2,181679.53,591.79
Potato,Whole Year ,Meghalaya,3818.2,1976109.88,6436.84
Rapeseed &Mustard,Rabi       ,Meghalaya,3818.2,658005.38,2143.34
Rice,Kharif     ,Meghalaya,3818.2,10009028.9,32602.7
Sesamum,Kharif     ,Meghalaya,3818.2,126195.42,411.06
Small millets,Kharif     ,Meghalaya,3818.2,266856.68,869.24
Soyabean,Kharif     ,Meghalaya,3818.2,85462.66,278.38
Sugarcane,Whole Year ,Meghalaya,3818.2,7803.94,25.42
Sweet potato,Whole Year ,Meghalaya,3818.2,496026.04,1615.72
Tapioca,Whole Year ,Meghalaya,3818.2,376778.03,1227.29
Tobacco,Rabi       ,Meghalaya,3818.2,70616.14,230.02
Turmeric,Whole Year ,Meghalaya,3818.2,133333.17,434.31
Wheat,Rabi       ,Meghalaya,3818.2,407993.79,1328.97
Arecanut,Whole Year ,West Bengal,1852.9,766879.86,2497.98
Arhar/Tur,Whole Year ,West Bengal,1852.9,345467.1,1125.3
Bajra,Kharif     ,West Bengal,1852.9,19700.19,64.17
Barley,Whole Year ,West Bengal,1852.9,582059.72,1895.96
Cardamom,Whole Year ,West Bengal,1852.9,254484.58,828.94
Castor seed,Whole Year ,West Bengal,1852.9,62812.2,204.6
Coconut ,Whole Year ,West Bengal,1852.9,2310061.41,7524.63
Cotton(lint),Kharif     ,West Bengal,1852.9,2474420,8060
Dry chillies,Whole Year ,West Bengal,1852.9,6094115.78,19850.54
Gram,Rabi       ,West Bengal,1852.9,2425407.45,7900.35
Groundnut,Whole Year ,West Bengal,1852.9,2818459.55,9180.65
Horse-gram,Kharif     ,West Bengal,1852.9,537234.65,1749.95
Jowar,Whole Year ,West Bengal,1852.9,90221.16,293.88
Jute,Kharif     ,West Bengal,1852.9,61058597.58,198887.94
Khesari,Rabi       ,West Bengal,1852.9,2404089.37,7830.91
Linseed,Whole Year ,West Bengal,1852.9,1568972.62,5110.66
Maize,Whole Year ,West Bengal,1852.9,3375584.73,10995.39
Masoor,Rabi       ,West Bengal,1852.9,4872894.34,15872.62
Mesta,Kharif     ,West Bengal,1852.9,922102.13,3003.59
Moong(Green Gram),Kharif     ,West Bengal,1852.9,141803.3,461.9
Moong(Green Gram),Rabi       ,West Bengal,1852.9,311110.73,1013.39
Moong(Green Gram),Summer     ,West Bengal,1852.9,947798.03,3087.29
Niger seed,Rabi       ,West Bengal,1852.9,4835406877,15750511
Niger seed,Whole Year ,West Bengal,1852.9,619747.04,2018.72
Other Kharif pulses,Kharif     ,West Bengal,1852.9,121722.43,396.49
Potato,Whole Year ,West Bengal,1852.9,27029707.55,88044.65
Ragi,Autumn     ,West Bengal,1852.9,1199808.19,3908.17
Rapeseed &Mustard,Whole Year ,West Bengal,1852.9,31132295.91,101408.13
Rice,Autumn     ,West Bengal,1852.9,40268425.57,131167.51
Rice,Summer     ,West Bengal,1852.9,114853915.9,374116.99
Rice,Winter     ,West Bengal,1852.9,406407115.8,1323801.68
Safflower,Whole Year ,West Bengal,1852.9,1027836,3348
Sannhamp,Whole Year ,West Bengal,1852.9,191767.55,624.65
Sesamum,Whole Year ,West Bengal,1852.9,12173480.21,39653.03
Small millets,Whole Year ,West Bengal,1852.9,480227.82,1564.26
Soyabean,Kharif     ,West Bengal,1852.9,147989.35,482.05
Sugarcane,Whole Year ,West Bengal,1852.9,2455100.49,7997.07
Sunflower,Whole Year ,West Bengal,1852.9,26457.26,86.18
Turmeric,Whole Year ,West Bengal,1852.9,1187816.77,3869.11
Urad,Kharif     ,West Bengal,1852.9,6592521.07,21474.01
Urad,Rabi       ,West Bengal,1852.9,1588767.98,5175.14
Wheat,Rabi       ,West Bengal,1852.9,34962983.58,113885.94
Arecanut,Kharif     ,Puducherry,1434.5875,6520.8,19.14
Bajra,Kharif     ,Puducherry,1434.5875,14721.2,43.21
Black pepper,Kharif     ,Puducherry,1434.5875,1185.6,3.48
Coriander,Kharif     ,Puducherry,1434.5875,197.6,0.58
Cotton(lint),Summer     ,Puducherry,1434.5875,44756.4,131.37
Dry chillies,Kharif     ,Puducherry,1434.5875,790.4,2.32
Groundnut,Rabi       ,Puducherry,1434.5875,103344.8,303.34
Onion,Kharif     ,Puducherry,1434.5875,2568.8,7.54
Ragi,Kharif     ,Puducherry,1434.5875,11065.6,32.48
Rice,Kharif     ,Puducherry,1434.5875,488566,1434.05
Rice,Rabi       ,Puducherry,1434.5875,1379346.8,4048.69
Rice,Summer     ,Puducherry,1434.5875,564740.8,1657.64
Sesamum,Kharif     ,Puducherry,1434.5875,14523.6,42.63
Small millets,Kharif     ,Puducherry,1434.5875,395.2,1.16
Sugarcane,Kharif     ,Puducherry,1434.5875,267748,785.9
Tapioca,Kharif     ,Puducherry,1434.5875,64121.2,188.21
Arecanut,Whole Year ,Assam,2354.4,7356351.6,21592.53
Arhar/Tur,Kharif     ,Assam,2354.4,756511.6,2220.53
Banana,Whole Year ,Assam,2354.4,4138238,12146.65
Castor seed,Kharif     ,Assam,2354.4,170726.4,501.12
Coconut ,Whole Year ,Assam,2354.4,1992400.8,5848.14
Cotton(lint),Kharif     ,Assam,2354.4,163217.6,479.08
Dry chillies,Whole Year ,Assam,2354.4,1454731.2,4269.96
Gram,Rabi       ,Assam,2354.4,296597.6,870.58
Jute,Kharif     ,Assam,2354.4,7775757.6,22823.58
Linseed,Rabi       ,Assam,2354.4,1009933.6,2964.38
Maize,Kharif     ,Assam,2354.4,1957228,5744.9
Mesta,Kharif     ,Assam,2354.4,519688,1525.4
Niger seed,Kharif     ,Assam,2354.4,864796.4,2538.37
Onion,Whole Year ,Assam,2354.4,798600.4,2344.07
Other  Rabi pulses,Rabi       ,Assam,2354.4,11474730.8,33680.89
Potato,Whole Year ,Assam,2354.4,7603450.4,22317.82
Rapeseed &Mustard,Rabi       ,Assam,2354.4,28536305.2,83760.41
Rice,Autumn     ,Assam,2354.4,58783925.2,172543.91
Rice,Summer     ,Assam,2354.4,22122604.4,64934.77
Rice,Winter     ,Assam,2354.4,161560724,474216.7
Sesamum,Kharif     ,Assam,2354.4,1574872,4622.6
Small millets,Kharif     ,Assam,2354.4,1042043.6,3058.63
Sugarcane,Whole Year ,Assam,2354.4,3020414.8,8865.59
Sweet potato,Whole Year ,Assam,2354.4,931980.4,2735.57
Tapioca,Whole Year ,Assam,2354.4,276442.4,811.42
Tobacco,Whole Year ,Assam,2354.4,144742,424.85
Turmeric,Whole Year ,Assam,2354.4,1060025.2,3111.41
Wheat,Rabi       ,Assam,2354.4,8851590.8,25981.39
Arecanut,Whole Year ,Goa,2964.9,148200,435
Banana,Whole Year ,Goa,2964.9,187720,551
Black pepper,Whole Year ,Goa,2964.9,24700,72.5
Cashewnut,Whole Year ,Goa,2964.9,5224050,15333.75
Coconut ,Whole Year ,Goa,2964.9,2455970.4,7208.82
Groundnut,Kharif     ,Goa,2964.9,34580,101.5
Groundnut,Rabi       ,Goa,2964.9,103542.4,303.92
Other  Rabi pulses,Rabi       ,Goa,2964.9,856694.8,2514.59
Other Kharif pulses,Kharif     ,Goa,2964.9,118560,348
Ragi,Kharif     ,Goa,2964.9,247000,725
Rice,Kharif     ,Goa,2964.9,4050800,11890
Rice,Rabi       ,Goa,2964.9,1525373.2,4477.31
Sugarcane,Whole Year ,Goa,2964.9,130416,382.8
Arecanut,Whole Year ,Karnataka,1260.8,9687043.6,28433.63
Arhar/Tur,Kharif     ,Karnataka,1260.8,46969124.8,137864.84
Bajra,Kharif     ,Karnataka,1260.8,41082620.8,120586.64
Bajra,Rabi       ,Karnataka,1260.8,44558.8,130.79
Bajra,Summer     ,Karnataka,1260.8,83584.8,245.34
Black pepper,Whole Year ,Karnataka,1260.8,433435.6,1272.23
Cardamom,Whole Year ,Karnataka,1260.8,1997538.4,5863.22
Castor seed,Kharif     ,Karnataka,1260.8,2691904.8,7901.34
Coconut ,Whole Year ,Karnataka,1260.8,30667421.2,90015.71
Coriander,Whole Year ,Karnataka,1260.8,1771978,5201.15
Cotton(lint),Kharif     ,Karnataka,1260.8,62885706,184583.55
Dry chillies,Whole Year ,Karnataka,1260.8,16827517.2,49392.51
Garlic,Whole Year ,Karnataka,1260.8,353111.2,1036.46
Ginger,Kharif     ,Karnataka,1260.8,384924.8,1129.84
Gram,Rabi       ,Karnataka,1260.8,35106208.8,103044.54
Groundnut,Kharif     ,Karnataka,1260.8,100042607.6,293647.33
Groundnut,Rabi       ,Karnataka,1260.8,21483566,63059.05
Horse-gram,Kharif     ,Karnataka,1260.8,18721216.8,54950.94
Horse-gram,Rabi       ,Karnataka,1260.8,13316165.2,39085.91
Jowar,Kharif     ,Karnataka,1260.8,41575830.4,122034.32
Jowar,Rabi       ,Karnataka,1260.8,140312005.6,411846.98
Jowar,Summer     ,Karnataka,1260.8,879023.6,2580.13
Linseed,Rabi       ,Karnataka,1260.8,1956832.8,5743.74
Maize,Kharif     ,Karnataka,1260.8,44506633.6,130636.88
Maize,Rabi       ,Karnataka,1260.8,4932293.6,14477.38
Maize,Summer     ,Karnataka,1260.8,1183031.2,3472.46
Moong(Green Gram),Kharif     ,Karnataka,1260.8,30797936,90398.8
Moong(Green Gram),Rabi       ,Karnataka,1260.8,1543947.6,4531.83
Niger seed,Kharif     ,Karnataka,1260.8,4135076.4,12137.37
Onion,Kharif     ,Karnataka,1260.8,7896194.8,23177.09
Onion,Rabi       ,Karnataka,1260.8,877541.6,2575.78
Onion,Summer     ,Karnataka,1260.8,473943.6,1391.13
Peas & beans (Pulses),Kharif     ,Karnataka,1260.8,170924,501.7
Peas & beans (Pulses),Rabi       ,Karnataka,1260.8,48807.2,143.26
Peas & beans (Pulses),Summer     ,Karnataka,1260.8,156400.4,459.07
Potato,Kharif     ,Karnataka,1260.8,2840994,8338.95
Potato,Rabi       ,Karnataka,1260.8,412292.4,1210.17
Potato,Summer     ,Karnataka,1260.8,112335.6,329.73
Potato,Whole Year ,Karnataka,1260.8,26478.4,77.72
Ragi,Kharif     ,Karnataka,1260.8,97433892.4,285990.17
Ragi,Rabi       ,Karnataka,1260.8,3342700.4,9811.57
Ragi,Summer     ,Karnataka,1260.8,1054492.4,3095.17
Rapeseed &Mustard,Kharif     ,Karnataka,1260.8,659292.4,1935.17
Rice,Kharif     ,Karnataka,1260.8,106624268.4,312965.97
Rice,Rabi       ,Karnataka,1260.8,5116061.6,15016.78
Rice,Summer     ,Karnataka,1260.8,29228004,85790.7
Safflower,Rabi       ,Karnataka,1260.8,9631715.6,28271.23
Sesamum,Kharif     ,Karnataka,1260.8,11386700,33422.5
Soyabean,Kharif     ,Karnataka,1260.8,6452529.2,18939.61
Sunflower,Kharif     ,Karnataka,1260.8,42550788.8,124896.04
Sunflower,Rabi       ,Karnataka,1260.8,35519983.2,104259.06
Sunflower,Summer     ,Karnataka,1260.8,4263812.8,12515.24
Turmeric,Whole Year ,Karnataka,1260.8,494691.6,1452.03
Wheat,Rabi       ,Karnataka,1260.8,26575322.8,78004.49
Arecanut,Whole Year ,Kerala,3151.5,7275533.2,21355.31
Banana,Whole Year ,Kerala,3151.5,3015474.8,8851.09
Black pepper,Whole Year ,Kerala,3151.5,18019539.2,52891.36
Cardamom,Whole Year ,Kerala,3151.5,4095161.2,12020.21
Cashewnut,Whole Year ,Kerala,3151.5,9017278.4,26467.72
Coconut ,Whole Year ,Kerala,3151.5,87170054.4,255863.52
Cotton(lint),Kharif     ,Kerala,3151.5,1086701.2,3189.71
Dry chillies,Whole Year ,Kerala,3151.5,29343.6,86.13
Garlic,Whole Year ,Kerala,3151.5,73309.6,215.18
Ginger,Whole Year ,Kerala,3151.5,1097371.6,3221.03
Groundnut,Kharif     ,Kerala,3151.5,693674.8,2036.09
Jowar,Kharif     ,Kerala,3151.5,215087.6,631.33
Ragi,Kharif     ,Kerala,3151.5,114311.6,335.53
Rice,Autumn     ,Kerala,3151.5,11877439.6,34862.93
Rice,Summer     ,Kerala,3151.5,5700760,16733
Rice,Winter     ,Kerala,3151.5,17261743.2,50667.06
Sesamum,Kharif     ,Kerala,3151.5,326336.4,957.87
Sugarcane,Whole Year ,Kerala,3151.5,608608,1786.4
Sweet potato,Whole Year ,Kerala,3151.5,108581.2,318.71
Tapioca,Whole Year ,Kerala,3151.5,11142071.2,32704.46
Tobacco,Whole Year ,Kerala,3151.5,4050.8,11.89
Turmeric,Whole Year ,Kerala,3151.5,366152.8,1074.74
Arecanut,Whole Year ,Meghalaya,6552.7,946998,2779.65
Arhar/Tur,Kharif     ,Meghalaya,6552.7,85066.8,249.69
Banana,Whole Year ,Meghalaya,6552.7,513167.2,1506.26
Cotton(lint),Kharif     ,Meghalaya,6552.7,745841.2,2189.21
Dry chillies,Whole Year ,Meghalaya,6552.7,174283.2,511.56
Ginger,Kharif     ,Meghalaya,6552.7,731416.4,2146.87
Gram,Rabi       ,Meghalaya,6552.7,45744.4,134.27
Jute,Kharif     ,Meghalaya,6552.7,419010.8,1229.89
Linseed,Kharif     ,Meghalaya,6552.7,5038.8,14.79
Maize,Kharif     ,Meghalaya,6552.7,1701237.2,4993.51
Mesta,Kharif     ,Meghalaya,6552.7,462482.8,1357.49
Mesta,Whole Year ,Meghalaya,6552.7,86054.8,252.59
Other  Rabi pulses,Rabi       ,Meghalaya,6552.7,191474.4,562.02
Potato,Whole Year ,Meghalaya,6552.7,2050396.4,6018.37
Rapeseed &Mustard,Rabi       ,Meghalaya,6552.7,683300.8,2005.64
Rice,Kharif     ,Meghalaya,6552.7,10413717.6,30566.58
Sesamum,Kharif     ,Meghalaya,6552.7,130613.6,383.38
Small millets,Kharif     ,Meghalaya,6552.7,278912.4,818.67
Soyabean,Kharif     ,Meghalaya,6552.7,88821.2,260.71
Sugarcane,Whole Year ,Meghalaya,6552.7,8200.4,24.07
Sweet potato,Whole Year ,Meghalaya,6552.7,511882.8,1502.49
Tapioca,Whole Year ,Meghalaya,6552.7,391544.4,1149.27
Tobacco,Whole Year ,Meghalaya,6552.7,73309.6,215.18
Turmeric,Whole Year ,Meghalaya,6552.7,135850,398.75
Wheat,Rabi       ,Meghalaya,6552.7,423555.6,1243.23
Arecanut,Whole Year ,West Bengal,2152.5,814013.2,2389.31
Arhar/Tur,Kharif     ,West Bengal,2152.5,257472.8,755.74
Bajra,Kharif     ,West Bengal,2152.5,17290,50.75
Barley,Rabi       ,West Bengal,2152.5,586674.4,1722.02
Cardamom,Whole Year ,West Bengal,2152.5,284050,833.75
Castor seed,Rabi       ,West Bengal,2152.5,5335.2,15.66
Coconut ,Whole Year ,West Bengal,2152.5,2432060.8,7138.64
Cotton(lint),Kharif     ,West Bengal,2152.5,19760,58
Dry chillies,Whole Year ,West Bengal,2152.5,6358175.2,18662.66
Ginger,Kharif     ,West Bengal,2152.5,928522.4,2725.42
Gram,Rabi       ,West Bengal,2152.5,2300656.8,6752.94
Groundnut,Whole Year ,West Bengal,2152.5,2979511.6,8745.53
Horse-gram,Rabi       ,West Bengal,2152.5,489850.4,1437.82
Jowar,Kharif     ,West Bengal,2152.5,87536.8,256.94
Jute,Kharif     ,West Bengal,2152.5,60472120.8,177499.14
Khesari,Rabi       ,West Bengal,2152.5,2302040,6757
Linseed,Rabi       ,West Bengal,2152.5,1019912.4,2993.67
Maize,Kharif     ,West Bengal,2152.5,3805677.2,11170.51
Masoor,Rabi       ,West Bengal,2152.5,5129597.2,15056.51
Mesta,Kharif     ,West Bengal,2152.5,979206.8,2874.19
Moong(Green Gram),Kharif     ,West Bengal,2152.5,81213.6,238.38
Moong(Green Gram),Rabi       ,West Bengal,2152.5,269625.2,791.41
Moong(Green Gram),Summer     ,West Bengal,2152.5,920816,2702.8
Niger seed,Kharif     ,West Bengal,2152.5,749595.6,2200.23
Other Kharif pulses,Kharif     ,West Bengal,2152.5,75878.4,222.72
Peas & beans (Pulses),Rabi       ,West Bengal,2152.5,911924,2676.7
Potato,Whole Year ,West Bengal,2152.5,31438061.2,92277.71
Ragi,Kharif     ,West Bengal,2152.5,1274026,3739.55
Rapeseed &Mustard,Rabi       ,West Bengal,2152.5,34022570.4,99863.82
Rice,Autumn     ,West Bengal,2152.5,41990197.6,123250.58
Rice,Summer     ,West Bengal,2152.5,143306732.4,420637.17
Rice,Winter     ,West Bengal,2152.5,398027656,1168299.8
Safflower,Rabi       ,West Bengal,2152.5,4742.4,13.92
Sannhamp,Whole Year ,West Bengal,2152.5,177840,522
Sesamum,Whole Year ,West Bengal,2152.5,9921990,29123.25
Small millets,Kharif     ,West Bengal,2152.5,369709.6,1085.18
Small millets,Rabi       ,West Bengal,2152.5,122018,358.15
Soyabean,Kharif     ,West Bengal,2152.5,79040,232
Sugarcane,Whole Year ,West Bengal,2152.5,2662561.2,7815.21
Sunflower,Kharif     ,West Bengal,2152.5,14721.2,43.21
Turmeric,Whole Year ,West Bengal,2152.5,1260984.4,3701.27
Urad,Kharif     ,West Bengal,2152.5,5817146.4,17074.62
Urad,Rabi       ,West Bengal,2152.5,1493065.6,4382.48
Wheat,Rabi       ,West Bengal,2152.5,36306233.6,106566.88
Arecanut,Whole Year ,Assam,2201.8,7796734.32,19835.28
Arhar/Tur,Kharif     ,Assam,2201.8,771140.58,1961.82
Banana,Whole Year ,Assam,2201.8,4449181.86,11318.94
Castor seed,Kharif     ,Assam,2201.8,183180.38,466.02
Coconut ,Whole Year ,Assam,2201.8,2147858.94,5464.26
Cotton(lint),Kharif     ,Assam,2201.8,173734.81,441.99
Dry chillies,Whole Year ,Assam,2201.8,1530182.34,3892.86
Gram,Rabi       ,Assam,2201.8,247919.68,630.72
Jute,Kharif     ,Assam,2201.8,7805330.85,19857.15
Linseed,Rabi       ,Assam,2201.8,1087620.24,2766.96
Maize,Kharif     ,Assam,2201.8,2091610.04,5321.16
Mesta,Kharif     ,Assam,2201.8,549435.01,1397.79
Niger seed,Kharif     ,Assam,2201.8,944981.52,2404.08
Onion,Whole Year ,Assam,2201.8,781647.45,1988.55
Other  Rabi pulses,Rabi       ,Assam,2201.8,11310910.88,28775.52
Potato,Whole Year ,Assam,2201.8,8145265.24,20721.96
Rapeseed &Mustard,Rabi       ,Assam,2201.8,30378757.33,77285.07
Rice,Autumn     ,Assam,2201.8,59137758.6,150449.4
Rice,Summer     ,Assam,2201.8,31271629.02,79556.58
Rice,Winter     ,Assam,2201.8,190396583.2,484378.38
Sesamum,Kharif     ,Assam,2201.8,1607126.59,4088.61
Small millets,Kharif     ,Assam,2201.8,1133574.53,2883.87
Sugarcane,Whole Year ,Assam,2201.8,3089125.91,7858.89
Sweet potato,Whole Year ,Assam,2201.8,950394.15,2417.85
Tapioca,Whole Year ,Assam,2201.8,300984.68,765.72
Tobacco,Whole Year ,Assam,2201.8,145716.49,370.71
Turmeric,Whole Year ,Assam,2201.8,1165307.4,2964.6
Wheat,Rabi       ,Assam,2201.8,8098780.3,20603.7
Arecanut,Whole Year ,Goa,3879.3,164501.5,418.5
Banana,Whole Year ,Goa,3879.3,206953.5,526.5
Black pepper,Whole Year ,Goa,3879.3,29185.75,74.25
Cashewnut,Whole Year ,Goa,3879.3,5655879.96,14388.84
Coconut ,Whole Year ,Goa,3879.3,2650596.75,6743.25
Groundnut,Kharif     ,Goa,3879.3,37145.5,94.5
Groundnut,Rabi       ,Goa,3879.3,106554.52,271.08
Other  Rabi pulses,Rabi       ,Goa,3879.3,979261.51,2491.29
Other Kharif pulses,Kharif     ,Goa,3879.3,106130,270
Ragi,Kharif     ,Goa,3879.3,106130,270
Rice,Kharif     ,Goa,3879.3,4298265,10935
Rice,Rabi       ,Goa,3879.3,1720685.69,4377.51
Sugarcane,Whole Year ,Goa,3879.3,141683.55,360.45
Arecanut,Whole Year ,Kerala,2914.6,8696398.33,22124.07
Banana,Whole Year ,Kerala,2914.6,4143951.98,10542.42
Black pepper,Whole Year ,Kerala,2914.6,21056828.78,53569.62
Cardamom,Whole Year ,Kerala,2914.6,4403439.83,11202.57
Cashewnut,Whole Year ,Kerala,2914.6,9488340.39,24138.81
Coconut ,Whole Year ,Kerala,2914.6,98173964.55,249759.45
Cotton(lint),Kharif     ,Kerala,2914.6,506452.36,1288.44
Dry chillies,Whole Year ,Kerala,2914.6,33112.56,84.24
Garlic,Whole Year ,Kerala,2914.6,90104.37,229.23
Ginger,Whole Year ,Kerala,2914.6,1195448.32,3041.28
Groundnut,Kharif     ,Kerala,2914.6,734525.73,1868.67
Jowar,Kharif     ,Kerala,2914.6,268402.77,682.83
Ragi,Kharif     ,Kerala,2914.6,92333.1,234.9
Rice,Autumn     ,Kerala,2914.6,12897448.25,32811.75
Rice,Summer     ,Kerala,2914.6,6157768.73,15665.67
Rice,Winter     ,Kerala,2914.6,18066297.64,45961.56
Sesamum,Kharif     ,Kerala,2914.6,277211.56,705.24
Sugarcane,Whole Year ,Kerala,2914.6,613431.4,1560.6
Sweet potato,Whole Year ,Kerala,2914.6,104962.57,267.03
Tapioca,Whole Year ,Kerala,2914.6,11878281.86,30218.94
Tobacco,Whole Year ,Kerala,2914.6,4669.72,11.88
Turmeric,Whole Year ,Kerala,2914.6,421442.23,1072.17
Arecanut,Whole Year ,Meghalaya,6200.3,1023623.85,2604.15
Arhar/Tur,Kharif     ,Meghalaya,6200.3,92439.23,235.17
Banana,Whole Year ,Meghalaya,6200.3,564505.47,1436.13
Castor seed,Kharif     ,Meghalaya,6200.3,2865.51,7.29
Cotton(lint),Kharif     ,Meghalaya,6200.3,791199.15,2012.85
Dry chillies,Whole Year ,Meghalaya,6200.3,189972.7,483.3
Ginger,Kharif     ,Meghalaya,6200.3,807224.78,2053.62
Gram,Rabi       ,Meghalaya,6200.3,48819.8,124.2
Jute,Kharif     ,Meghalaya,6200.3,449460.55,1143.45
Maize,Kharif     ,Meghalaya,6200.3,1765684.81,4491.99
Mesta,Kharif     ,Meghalaya,6200.3,473021.41,1203.39
Potato,Whole Year ,Meghalaya,6200.3,1946318.07,4951.53
Rapeseed &Mustard,Rabi       ,Meghalaya,6200.3,747367.46,1901.34
Rice,Kharif     ,Meghalaya,6200.3,10876414.66,27670.14
Rice,Rabi       ,Meghalaya,6200.3,416984.77,1060.83
Sesamum,Kharif     ,Meghalaya,6200.3,138393.52,352.08
Soyabean,Kharif     ,Meghalaya,6200.3,110162.94,280.26
Sugarcane,Whole Year ,Meghalaya,6200.3,8490.4,21.6
Sweet potato,Whole Year ,Meghalaya,6200.3,553998.6,1409.4
Tapioca,Whole Year ,Meghalaya,6200.3,426854.86,1085.94
Tobacco,Whole Year ,Meghalaya,6200.3,76307.47,194.13
Turmeric,Whole Year ,Meghalaya,6200.3,154737.54,393.66
Arecanut,Whole Year ,Puducherry,1434.5875,6898.45,17.55
